nariya31_;2;"Lama aja dari penjual nya . 
tapi kualitas nya OKEEE bingittttsssssss"
tiurmaida07;2;Bahannya bagus tapi ukuran S lumayan gedek kek ukuran M?? kaosnya tipis banget,, ah kecewa
w*****4;2;gampang ngerajut gini bahannya, padahal sweater cuma dipake sewajarnya ga di pake gesek gesek intinya gasuka sih bahannya ngerajut gini
r*****a;2;Orderan ke 2 lumayan kecewa bahan di dalam baju nya berbulu kyak kapas di pake pasti lengket2 di badan ...
w*****4;2;gampang ngerajut gini bahannya, padahal sweater cuma dipake sewajarnya ga di pake gesek gesek intinya gasuka sih bahannya ngerajut gini
r*****a;2;Orderan ke 2 lumayan kecewa bahan di dalam baju nya berbulu kyak kapas di pake pasti lengket2 di badan ...
r*****a;2;Orderan ke 2 lumayan kecewa bahan di dalam baju nya berbulu kyak kapas di pake pasti lengket2 di badan ...
ariefkhoer;3;Packing bagus..rapih..sayangnya pada bagian belakang bawah. Kain sudah berbulu..seperti sudah terpakai lama...dan saya KECEWA..untuk sekelas ERIGO ...Masih lemah di QC nya.....intinya tidak seperti yg saya harapkan..
nisainayah2102;3;Warnanya beda, yg satu hijau olive yg satu agak tua hijaunya??
irvanrismawanto;3;Baguslah, lama respon cht ya sama pengirimannya, pesan tgl 30 kirim tgl 6 , kesel sama pengirimannya
devid220033;3;"Produck lokal rasa internasional ini mah
Mantappp sudah ??????"
m*****y;3;"Pengiriman standar
Harga oke
Bahann warna maroon tebel , olive lumayan tipis.
Overall oke"
m*****y;3;"Pengiriman standar
Harga oke
Bahann warna maroon tebel , olive lumayan tipis.
Overall oke"
p*****o;3;Bajunya sih fine ya tapi kemasannya tolong lebih diperhatikan lagi. Plastik baju nya kusam, sudah terbuka, robek,jelek tidak seperti baju ratusan ribu. Thankss
d*****r;3;Pengiriman lama sekaliiiiii, bordir tulisan ada yg lepas2
r*****a;3;Barang bagus, kain okay, bordiran, tapi jahitan ada yg krg rapi dibagian lengan dan dalam sweatshirtnya, bisa nilai sendiri nanti kl udah beli
khusna210703;3;Kualitas barang bagus, bahan lembut tebal nyaman di pakai warnanyaa juga cantik banget.... pengiriman agak lama
robbyanggara828;3;"Saya suka banget dengan kain nya lembut dan nyaman di pakai
Terima kasih shoopy??????"
putriwidyaasar;3;Bagus bgt smph dehh buat sicepat gesit jg cpt bgt pengirimnya buat penjualnya juga ramahhh makasih bgt????sukaaaa
gyoib;3;Tak kira bahan tebel terus besar ternyata ukuran xl kecil harga juga lumayan mahal..
fazdil1904;3;Lumayan tapi bahan dalamnya kurang suka
faridojol123;3;Baru kali ini kecewa sama erigo mesen L di kasih M
nasihkinkhaer;3;Bagus, lembut banget. Pengiriman cepat??
muhfaqihbdalil;3;Kualitas baik dan bagus di badan
penegaksepi;3;Wah mantap nih kain haluss
muhfaqihbdalil;3;Kualitas baik dan bagus di badan
penegaksepi;3;Wah mantap nih kain haluss
muhfaqihbdalil;3;Kualitas baik dan bagus di badan
penegaksepi;3;Wah mantap nih kain haluss
penegaksepi;3;Wah mantap nih kain haluss
f*****n;3;Bahan bagus rekomend la tpi tolong adminya fastrespont lah. saya tanya soal ukuran tinggi dan berat badan yg sesuai dan pas buat saya tpi cuma online gk di gubris, harus berkali kali dulu tanya baru digubris tpi sekalinya jawab saran yg dikasih malah pas order dan barang dateng kebesaran buat saya..
bip_store1;3;"Masalah bahan sma kualitas produk real pict bener2 Bagus sih cuma kekecilan,
Saya baca tips saran pilih ukuran dari erigo dan komen2 tips ukuran,
Sedikit tips aja buat temen2 !!
Saya TB/BB 172/70 ambil ukuran L kekecilan panjang lengan ga nyampe bener2 kekecilan ??, saran saya mending ambil XL ??"
r*****g;3;Cepet sampek kal makasih yaa dan moga sukses usaha nya kak dan makin rame dg bnyk promoannya kak. Makasih ya kakak
cherry_lee30;1;"Paraaahhh bgt gk kejahiiittnya panjang bgt pas bawah lengan ??????????
Niaatt nya mau buat kado suami yg lg ultah
Dan mau ku buat parcel 
Ini malah barangnya begini ????????
Aaaaiiiirrr nya setelah di rendam ????????"
r*****r;1;Quality Control nya kemana ini bisa lolos produk cacat kaya gini  udah 2x beli produk dierigo  gagal terus cacat terus kacaulah kecewa  ,mau proses pengembalian ribet panjang urusanya
diankarrrr;1;Halo Erigo, saya order 3 yg dtg hanya 2 dgn stiker 2. Dari sekian orderan baru kali kecewa, biasanya beli tdk ada masalah. Kesalahan saya, saya terlalu percaya terhadap barang yg dikirim sehingga tdk saya videokan saat unboxing. Komplainan tdk dilayani tanpa video unboxing. Kecewa sih
s*****5;1;"Beli 3 kemeja semua ukuran M tapi besarnya beda beda.
Yg hitam kayak pake sarung, sampe jatuh di bahu.
Haduhhh nyesel belinya, padahal uda sering belanja disini.
??????????????????"
indrilutfi_;1;Halo, admin! Mohon maaf harus saya kasih rating jelek. Saya order 2pcs kemeja ini, tapi yang sampai cuma 1. Sudah chat admin tp tidak respon. Mohon untuk tindak lanjutnya ya, refund dana atau kirim 1 lagi pesanan saya. Jujur, kecewa banget. 
julidi07;1;Parah kecewa pesen kemeja yg dateng kaos malah
alvianahfa;1;"Udah pernah beli warna khaki, sama2 L tapi panjangnya beda jauh, yang bener yang mana kaga tau
Di size chart juga sama padahal??"
a*****2;1;Masa lipetan yg sebelah kanan beda ama yg kiri ga sesuai aneh banget
dedy_risd22;1;"Lebar dada 66 Gilak beda jauh sama description size ,sekelas erigo size masih gak jelas... kelemahan beli online slalu beda dengan description
...baru X ini beli baju merk terkenal tapi size asal2an"
irfan_permadi04;1;Bahan baju ok. Cuma ukurannya kecil. Biasanya saya pakai ukuran XL tp kecil ini ngegantung, giliran dituker gak boleh bosque
rendynotaris;1;Pelayanan buruk, artikel kosong sempat ditawarkan ganti artikel lainnya oleh seller, ternyata tidak di realisasikan oleh seller (uang hilang) ??
dsax98;1;"SOBEK GUYS

tp gamau tanggung jawab
chat sm admin cape banget nanya hal yg sama berulang, baca chat ke atas aja gabisa!?

kalo retur suru foto tag, lah kalo tagnya dah gada? gapernah loh ditulis syarat harus simpen tag."
gordenmurahmakassar;1;Kemeja hitam tapi warna nya kayak navy campur hitam. Gak benner2 hitam
dinirac;1;"Jangan beli di erigo
Tak kirain produk nya oke eh ternyata sobek di lengann
Mau return nunggu waktu kelamaan biar saya jahit ke tukang jahit aja"
r*****3;1;"Apa ngk di cek dulu sebelum ngirim ya sobek kayak gini nyesel parah 
Padahal shopy mall kualitas nya ngk bagus"
rizkifadlimanik;1;Jujur jujuran aja ni bahan nya asli gampang kali kusut, asli gampang kali kusut ,nyesel sih
h*****m;1;Produknya kurang bagus  bahan tipis cuma  menang brand doang hahaha
b*****a;1;Ukuran produk konsisten, ukuran baju saya itu kalo gak M ato L. pertama beli ukuran ‘L’ dicobain kegedean dikit saya gak komplain karna bisa dikasih ke saudara. Lalu pembelian kedua ukuran ‘M’ kemeja yg sama masih kegedean juga. Saya minta tuker size gak dikasih.
d*****1;1;sayang banget brand udah gede tapi masih jual aja produk yang reject
cherry_lee30;1;"Paraaahhh bgt gk kejahiiittnya panjang bgt pas bawah lengan ??????????
Niaatt nya mau buat kado suami yg lg ultah
Dan mau ku buat parcel 
Ini malah barangnya begini ????????
Aaaaiiiirrr nya setelah di rendam ????????"
r*****r;1;Quality Control nya kemana ini bisa lolos produk cacat kaya gini  udah 2x beli produk dierigo  gagal terus cacat terus kacaulah kecewa  ,mau proses pengembalian ribet panjang urusanya
diankarrrr;1;Halo Erigo, saya order 3 yg dtg hanya 2 dgn stiker 2. Dari sekian orderan baru kali kecewa, biasanya beli tdk ada masalah. Kesalahan saya, saya terlalu percaya terhadap barang yg dikirim sehingga tdk saya videokan saat unboxing. Komplainan tdk dilayani tanpa video unboxing. Kecewa sih
r*****.;2;Warna tidak sesuai dengan pesanan, padahal yg di gambar warnanya hitam giliran yang datang warnanya malah agak k navy an
ryansaputrax;2;kecewa
